"DIA","PONTOS","BACKLOG"
"0","75","-"
"1","75","-"
"2","65","Gerar Classe Evento e Ligar a Classe Atividade"
"3","50","Criar uma tela de Cadastro dos Eventos"
"4","50","Período de Recesso do IFPI"
"5","25","Receber dados do formulário para gerar e armazenar o evento"
"5","15","Tela de Listagem de Eventos"
"6","0","Criar o Período Dentro de Eventos"
